Gender,Male,Female,Male,Female,Male,Female,Male,Female
Height,17-20,17-20,21-27,21-27,28-39,28-39,40+,40+
58,132,119,136,121,139,122,141,124
59,132,124,136,125,139,126,141,124
60,132,128,136,129,139,131,141,133
61,136,132,140,134,144,135,146,137
62,141,136,144,138,148,140,150,142
63,145,141,149,143,153,144,155,146
64,150,145,154,147,158,149,165,151
65,155,150,159,152,163,154,165,156
66,160,155,163,156,168,158,170,161
67,165,159,169,161,174,163,176,166
68,170,164,174,166,179,168,181,171
69,175,169,179,171,184,173,186,176
70,180,174,185,176,189,178,192,181
71,185,179,189,181,194,183,197,186
72,190,184,195,186,200,188,203,191
73,195,189,200,191,205,194,208,197
74,201,194,206,197,211,199,214,202
75,206,200,212,202,217,204,220,208
76,212,205,217,207,223,210,226,213
77,218,210,223,213,229,215,232,219
78,223,216,229,218,235,221,238,225
79,229,221,235,224,241,227,244,230
80,234,227,240,230,247,233,250,236
81,240,232,246,235,253,238,256,241
82,246,237,252,241,259,243,262,246
